Date	Time	SensorID	Value	ResidentID	TaskID
2008-11-10	14:28:17.986759	M22	ON	2	2
2008-11-10	14:28:18.78605	M19	ON	1	1
2008-11-10	14:28:19.551189	M23	ON	2	2
2008-11-10	14:28:20.048559	M18	ON	1	1
2008-11-10	14:28:20.615459	M01	ON	2	2
2008-11-10	14:28:21.00566	M17	ON	1	1
2008-11-10	14:28:22.025769	D07	OPEN	1	1
2008-11-10	14:28:22.23544	M19	OFF	1	1
2008-11-10	14:28:22.48164	M23	OFF	2	2
2008-11-10	14:28:22.81818	M21	OFF	2	2
2008-11-10	14:28:23.050209	M22	OFF	2	2
2008-11-10	14:28:23.678289	M01	OFF	2	2
2008-11-10	14:28:23.940809	M03	ON	2	2
2008-11-10	14:28:24.28638	M18	OFF	1	1
2008-11-10	14:28:26.409889	M17	OFF	1	1
2008-11-10	14:28:26.71141	M03	OFF	2	2
2008-11-10	14:28:30.07605	M03	ON	2	2
2008-11-10	14:28:32.473779	I04	ABSENT	1	1
2008-11-10	14:28:33.0757	M01	ON	2	2
2008-11-10	14:28:33.714829	M23	ON	2	2
2008-11-10	14:28:34.015579	M03	OFF	2	2
2008-11-10	14:28:34.89439	D12	OPEN	2	2
2008-11-10	14:28:36.62255	I06	ABSENT	1	1
2008-11-10	14:28:37.072679	M01	OFF	2	2
2008-11-10	14:28:38.5292	M23	OFF	2	2
2008-11-10	14:28:40.348929	M17	ON	1	1
2008-11-10	14:28:42.63277	M17	OFF	1	1
2008-11-10	14:28:42.989929	D12	OPEN	2	2
2008-11-10	14:28:45.813129	M26	ON	2	2
2008-11-10	14:28:50.51813	D12	OPEN	2	2
2008-11-10	14:29:04.97305	M17	ON	1	1
2008-11-10	14:29:07.80058	M17	OFF	1	1
2008-11-10	14:29:13.858639	M23	ON	2	2
2008-11-10	14:29:14.975339	M01	ON	2	2
2008-11-10	14:29:16.568639	M01	OFF	2	2
2008-11-10	14:29:16.834959	M23	OFF	2	2
2008-11-10	14:29:17.73793	M03	ON	2	2
2008-11-10	14:29:22.318779	M03	OFF	2	2
2008-11-10	14:29:22.996419	M03	ON	2	2
2008-11-10	14:29:26.25828	M03	OFF	2	2
2008-11-10	14:29:27.584359	M04	ON	2	2
2008-11-10	14:29:29.76985	M04	OFF	2	2
2008-11-10	14:29:30.450469	D12	CLOSE	2	2
2008-11-10	14:29:30.68878	M04	ON	2	2
2008-11-10	14:29:31.3735	D12	OPEN	2	2
2008-11-10	14:29:32.501029	M04	OFF	2	2
2008-11-10	14:29:33.1159	M17	ON	1	1
2008-11-10	14:29:34.108609	M04	ON	2	2
2008-11-10	14:29:35.33645	M17	OFF	1	1
2008-11-10	14:29:37.744859	M04	OFF	2	2
2008-11-10	14:29:40.285569	M03	ON	2	2
2008-11-10	14:29:42.10099	M02	ON	2	2
2008-11-10	14:29:42.73407	M01	ON	2	2
2008-11-10	14:29:43.515799	M23	ON	2	2
2008-11-10	14:29:43.77201	M02	OFF	2	2
2008-11-10	14:29:43.976389	M03	OFF	2	2
2008-11-10	14:29:44.66421	D12	OPEN	2	2
2008-11-10	14:29:46.040679	M01	OFF	2	2
2008-11-10	14:29:46.72827	M23	OFF	2	2
2008-11-10	14:30:27.88842	M17	ON	1	1
2008-11-10	14:30:31.1084	M17	OFF	1	1
2008-11-10	14:31:03.32905	M17	ON	1	1
2008-11-10	14:31:05.212919	M17	OFF	1	1
2008-11-10	14:31:07.15455	M17	ON	1	1
2008-11-10	14:31:10.439539	M17	OFF	1	1
2008-11-10	14:31:11.127579	M17	ON	1	1
2008-11-10	14:31:13.788889	M17	OFF	1	1
2008-11-10	14:31:15.272119	M17	ON	1	1
2008-11-10	14:31:19.86819	M17	OFF	1	1
2008-11-10	14:31:27.565	M23	ON	2	2
2008-11-10	14:31:27.90807	D12	CLOSE	2	2
2008-11-10	14:31:29.07059	M01	ON	2	2
2008-11-10	14:31:29.99461	M07	ON	2	3
2008-11-10	14:31:30.84085	M08	ON	2	3
2008-11-10	14:31:31.02747	M17	ON	1	1
2008-11-10	14:31:31.83412	M09	ON	2	3
2008-11-10	14:31:32.51566	M01	OFF	2	2
2008-11-10	14:31:32.75568	M17	OFF	1	1
2008-11-10	14:31:33.00231	M23	OFF	2	2
2008-11-10	14:31:33.83519	M14	ON	2	3
2008-11-10	14:31:34.420799	M15	ON	2	3
2008-11-10	14:31:34.860389	M08	OFF	2	3
2008-11-10	14:31:35.112179	M07	OFF	2	3
2008-11-10	14:31:35.71351	M14	OFF	2	3
2008-11-10	14:31:35.99339	M09	OFF	2	3
2008-11-10	14:31:37.006659	M14	ON	1	4
2008-11-10	14:31:37.76706	M08	ON	1	4
2008-11-10	14:31:37.99985	M17	ON	1	4
2008-11-10	14:31:38.271369	M09	ON	1	4
2008-11-10	14:31:38.907769	M14	OFF	1	4
2008-11-10	14:31:39.334769	M16	ON	1	4
2008-11-10	14:31:39.5827	M07	ON	1	4
2008-11-10	14:31:40.00179	M06	ON	2	3
2008-11-10	14:31:40.713119	M16	OFF	1	4
2008-11-10	14:31:40.94123	M02	ON	2	3
2008-11-10	14:31:41.365609	M03	ON	2	3
2008-11-10	14:31:42.054759	M08	OFF	1	4
2008-11-10	14:31:42.26688	M09	OFF	1	4
2008-11-10	14:31:42.586849	M15	OFF	1	4
2008-11-10	14:31:43.06487	M17	OFF	1	4
2008-11-10	14:31:43.83485	M02	OFF	1	4
2008-11-10	14:31:44.9307	M08	ON	1	4
2008-11-10	14:31:45.20	M01	ON	1	4
2008-11-10	14:31:45.42808	M23	ON	1	4
2008-11-10	14:31:45.741509	M03	ON	1	4
2008-11-10	14:31:46.33084	M06	OFF	1	4
2008-11-10	14:31:46.942729	M08	OFF	1	4
2008-11-10	14:31:48.080339	M07	OFF	1	4
2008-11-10	14:31:48.80689	M03	OFF	1	4
2008-11-10	14:31:49.48493	M23	OFF	1	4
2008-11-10	14:31:50.980429	M02	ON	2	3
2008-11-10	14:31:51.331919	M04	ON	2	3
2008-11-10	14:31:51.87541	M01	OFF	2	3
2008-11-10	14:31:55.44805	M07	ON	2	3
2008-11-10	14:31:55.68542	M06	ON	2	3
2008-11-10	14:31:56.32873	M03	ON	2	3
2008-11-10	14:31:57.511509	M10	ON	1	4
2008-11-10	14:31:58.75373	M11	ON	1	4
2008-11-10	14:31:59.06994	M09	ON	2	3
2008-11-10	14:32:00.1026	M09	OFF	2	3
2008-11-10	14:32:00.78338	M06	ON	1	4
2008-11-10	14:32:01.46338	M11	ON	2	3
2008-11-10	14:32:01.745199	M03	OFF	2	3
2008-11-10	14:32:02.49756	M08	OFF	2	3
2008-11-10	14:32:02.787529	M09	ON	2	3
2008-11-10	14:32:03.02057	M02	OFF	2	3
2008-11-10	14:32:03.28148	M04	OFF	2	3
2008-11-10	14:32:03.868849	M08	ON	1	4
2008-11-10	14:32:04.11556	M06	ON	1	4
2008-11-10	14:32:04.341939	M09	ON	1	4
2008-11-10	14:32:04.975579	M11	OFF	2	3
2008-11-10	14:32:06.054899	M08	OFF	2	3
2008-11-10	14:32:06.805969	M10	OFF	2	3
2008-11-10	14:32:07.69338	M08	ON	1	4
2008-11-10	14:32:09.189529	M08	OFF	1	4
2008-11-10	14:32:09.51005	M07	OFF	1	4
2008-11-10	14:32:10.98475	M07	ON	2	3
2008-11-10	14:32:12.420439	M08	ON	2	3
2008-11-10	14:32:13.11507	M01	ON	2	3
2008-11-10	14:32:13.82497	M09	OFF	2	3
2008-11-10	14:32:15.21215	M02	ON	2	3
2008-11-10	14:32:17.082669	M07	OFF	2	3
2008-11-10	14:32:17.724289	M06	OFF	2	3
2008-11-10	14:32:18.423799	M07	ON	1	4
2008-11-10	14:32:18.654939	M06	ON	2	3
2008-11-10	14:32:19.33451	M02	OFF	2	3
2008-11-10	14:32:20.014359	M06	OFF	2	3
2008-11-10	14:32:20.724519	M01	OFF	2	3
2008-11-10	14:32:20.93664	M09	ON	2	3
2008-11-10	14:32:21.16809	M02	ON	2	3
2008-11-10	14:32:21.468899	M15	ON	2	3
2008-11-10	14:32:22.14294	M08	OFF	2	3
2008-11-10	14:32:22.424679	M16	ON	2	3
2008-11-10	14:32:22.65297	M06	ON	2	5
2008-11-10	14:32:22.90261	M09	OFF	2	3
2008-11-10	14:32:23.135299	M02	OFF	2	3
2008-11-10	14:32:23.805299	M17	ON	1	1
2008-11-10	14:32:24.085939	M07	OFF	1	1
2008-11-10	14:32:24.78128	M17	OFF	1	1
2008-11-10	14:32:25.08505	M16	OFF	1	1
2008-11-10	14:32:25.383899	M15	OFF	1	1
2008-11-10	14:32:26.73966	M10	ON	2	5
2008-11-10	14:32:27.455349	M06	OFF	2	5
2008-11-10	14:32:28.150439	M10	OFF	2	5
2008-11-10	14:33:09.865099	M17	ON	1	1
2008-11-10	14:33:11.57974	I06	PRESENT	1	1
2008-11-10	14:33:12.051889	M17	OFF	1	1
2008-11-10	14:33:15.754509	M17	ON	1	1
2008-11-10	14:33:18.044519	M17	OFF	1	1
2008-11-10	14:33:18.363039	M26	ON	1	1
2008-11-10	14:33:21.012619	M17	ON	1	1
2008-11-10	14:33:22.2011	I04	PRESENT	1	1
2008-11-10	14:33:24.046519	I04	ABSENT	1	1
2008-11-10	14:33:24.66789	I04	PRESENT	1	1
2008-11-10	14:33:26.194999	M17	OFF	1	1
2008-11-10	14:33:26.933049	M26	OFF	1	1
2008-11-10	14:33:29.68825	D07	CLOSE	1	1
2008-11-10	14:33:31.49232	M17	ON	1	1
2008-11-10	14:33:32.740989	M06	ON	1	1
2008-11-10	14:33:33.273169	M18	ON	1	1
2008-11-10	14:35:31.568949	M22	ON	2	7
2008-11-10	14:35:31.898509	M18	ON	2	7
2008-11-10	14:35:32.48601	M21	OFF	1	6
2008-11-10	14:35:33.37483	M51	ON	1	6
2008-11-10	14:35:33.6015	M26	OFF	1	6
2008-11-10	14:35:34.97404	M19	OFF	1	6
2008-11-10	14:35:35.83621	M18	OFF	2	7
2008-11-10	14:35:36.544909	D11	OPEN	2	7
2008-11-10	14:35:37.485729	D12	CLOSE	1	6
2008-11-10	14:35:38.21879	D12	OPEN	1	6
2008-11-10	14:35:41.108979	M22	OFF	1	6
